Task,Count of tasks_to_dwas.csv
"Monitor the use of diagnostic services, inpatient beds, facilities, and staff to ensure effective use of resources and assess the need for additional staff, equipment, and services.",2
Monitor the use and status of medical and pharmaceutical supplies.,1
Monitor the revenue activity of the hotel or facility.,1
"Monitor the production line, watching for problems such as pile-ups, jams, or glue that isn't sticking properly.",1
"Monitor the performance of project team members, providing and documenting performance feedback.",1
Monitor the performance of project team members to provide performance feedback.,1
Monitor the payments of benefits throughout the duration of a claim.,1
Monitor the operations and sanitary conditions of slaughtering or meat processing plants.,1
"Monitor the operating status of biomass plants by observing control system parameters, distributed control systems, switchboard gauges, dials, or other indicators.",1
Monitor the implementation and impact of guidelines for nondiscriminatory employment practices.,1
Monitor the grading performed by company employees to verify conformance to standards.,1
"Monitor the fitting, burning, and welding processes to avoid overheating of parts or warping, shrinking, distortion, or expansion of material.",1
Monitor the field of dance to remain aware of current trends and innovations.,1
Monitor the feed and speed of machines during the machining process.,1
"Monitor the facility to ensure that it remains safe, secure, and well-maintained.",1
"Monitor the environmental impact of development activities, pollution, or land degradation.",1
Monitor the conduct of students to maintain discipline and safety.,1
"Monitor the behavior of security employees to ensure adherence to quality standards, deadlines, or procedures.",2
"Monitor the availability, use, or condition of lifesaving equipment or pollution preventatives to ensure that international regulations are followed.",1
"Monitor the arrival, parking, refueling, loading, and departure of all aircraft.",1
"Monitor testing procedures to ensure that all tests are performed according to established item specifications, standard test methods, or protocols.",1
Monitor teachers or teacher assistants to ensure adherence to special education program requirements.,3
Monitor teachers and teacher assistants to ensure that they adhere to inclusive special education program requirements.,2
Monitor tapes or digital recordings to identify the source of losses.,1
"Monitor systems for intrusions or denial of service attacks, and report security breaches to appropriate personnel.",2
Monitor system operation to detect potential problems.,1
Monitor suppliers' activities to assess performance in meeting quality or delivery requirements.,1
Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,1
"Monitor study activities to ensure compliance with protocols and with all relevant local, federal, and state regulatory and institutional polices.",1
Monitor students' progress and provide students and teachers with assistance in resolving any problems.,1
"Monitor students' performance to make suggestions for improvement and to ensure that they satisfy course standards, training requirements, and objectives.",1
"Monitor student performance or assist students in academic environments, such as classrooms, laboratories, or computing centers.",1
"Monitor strength, clarity, and reliability of incoming and outgoing signals, and adjust equipment as necessary to maintain quality broadcasts.",2
Monitor street or utility projects for compliance to traffic control permit conditions.,1
Monitor stored biofuels products or secondary by-products until reused or transferred to users.,1
Monitor status of loans and accounts to ensure that payments are up to date.,1
Monitor stations and games and move dealers from game to game to ensure adequate staffing.,2
"Monitor staffing levels to ensure that games and tables are adequately staffed for each shift, arranging for staff rotations and breaks and locating substitute employees as necessary.",1
Monitor sound wave-generating or detecting mechanisms to determine well fluid levels.,1
"Monitor shipments to ensure that goods come in on time, and resolve problems related to undelivered goods.",1
Monitor security system performance logs to identify problems and notify security specialists when problems occur.,2
"Monitor security policies, programs or procedures to ensure compliance with internal security policies, or applicable government security requirements, policies, and directives.",2
"Monitor sawing machines, adjusting speed and tension and clearing jams to ensure proper operation.",2
Monitor sanitation practices to ensure that employees follow standards and regulations.,1
Monitor sales staff performance to ensure that goals are met.,2
Monitor sales activities to ensure that customers receive satisfactory service and quality goods.,1
Monitor regulatory or tax law changes to ensure fund compliance or to capitalize on development opportunities.,1
Monitor regulatory affairs trends related to environmental issues.,1
Monitor regulatory affairs activities to ensure their alignment with corporate sustainability or green initiatives.,1
Monitor regulatory activity to maintain compliance with records and document management laws.,1
"Monitor recording instruments, flowmeters, panel lights, or other indicators and listen for warning signals to verify conformity of process conditions.",1
"Monitor raw data quality during collection, and make equipment corrections as necessary.",1
Monitor radio range stations to detect transmission flaws and adjust controls to eliminate flaws.,2
Monitor pumps and flow lines for gas and fluid leaks.,2
Monitor projects during or after construction to ensure projects conform to design specifications.,1
Monitor project milestones and deliverables.,2
"Monitor project activities to ensure that instructions are followed, deadlines are met, and schedules are maintained.",1
Monitor progress of fundraising drives.,1
Monitor progress of environmental improvement programs.,1
"Monitor progress of drilling operations, and select and change drill bits according to the nature of strata, using hand tools.",3
Monitor program performance to ensure efficient and problem-free operations.,1
"Monitor production rates, and plan rework processes to improve production.",2
"Monitor production operations or equipment to ensure conformance to specifications, making necessary process or assembly adjustments.",1
Monitor product quality to ensure compliance with standards and specifications.,1
"Monitor product movement to and from storage tanks, coordinating activities with other workers to ensure constant product flow.",2
Monitor product import or export processes to ensure compliance with regulatory or legal requirements.,1
"Monitor process indicators, instruments, gauges, and meters to detect and report any possible problems.",1
Monitor proceedings to ensure that all applicable rules and procedures are followed.,1
"Monitor pressure gauges, ammeters, flowmeters, thermometers, or products, and adjust controls to maintain specified conditions, such as feed rate, product consistency, temperature, air pressure, and machine speed.",1
Monitor power plant equipment and indicators to detect evidence of operating problems.,1
Monitor personnel to determine the amounts and intensities of radiation exposure.,1
Monitor personnel or equipment locations and utilization to coordinate service and schedules.,1
Monitor permit requirements for updates.,1
Monitor performance of quality control systems to ensure effectiveness and efficiency.,1
Monitor payment of hand-delivered jackpots to ensure promptness.,1
"Monitor patrons' facility use to ensure that rules and regulations are followed, and safety and order are maintained.",1
"Monitor patrons for signs of compulsive gambling, offering assistance if necessary.",1
"Monitor patients' responses, including skin color, pupil dilation, pulse, heart rate, blood pressure, respiration, ventilation, or urine output, using invasive and noninvasive techniques.",1
Monitor patients' progress and provide ongoing observation of hearing or balance status.,1
Monitor patients' progress and adjust treatments accordingly.,1
Monitor patients' physical and emotional well-being and report unusual behavior or physical ailments to medical staff.,1
"Monitor patients' performance in therapy activities, providing encouragement.",2
Monitor patients' medication usage and results.,1
"Monitor patients' fluid intake and output to detect emerging problems, such as fluid and electrolyte imbalances.",1
"Monitor patients' conditions, and reevaluate treatments, as necessary.",2
"Monitor patients' conditions and reactions, reporting abnormal signs to physician.",2
"Monitor patients' conditions and progress, and reevaluate treatments, as necessary.",1
Monitor patients' conditions and progress and reevaluate treatments as necessary.,4
"Monitor patients' comfort and safety during tests, alerting physicians to abnormalities or changes in patient responses.",2
Monitor patients' blood pressure and heart rate using electrocardiogram (EKG) equipment during diagnostic or therapeutic procedures to notify the physician if something appears wrong.,1
Monitor patients for changes in status and indications of conditions such as sepsis or shock and institute appropriate interventions.,2
"Monitor patients during tests or surgeries, using electroencephalographs (EEG), evoked potential (EP) instruments, or video recording equipment.",1
"Monitor patient's recovery, making follow-up visits and using postoperative assessment techniques, such as blood and imaging tests.",1
"Monitor patient's physiological responses to therapy, such as vital signs, arterial blood gases, or blood chemistry changes, and consult with physician if adverse reactions occur.",2
Monitor patient progress following cardiac surgery.,1
"Monitor patient intra-operative status, including patient position, vital signs, or volume and color of blood.",1
"Monitor patient before, during, and after anesthesia and counteract adverse reactions or complications.",1
Monitor passenger flow through screening checkpoints to ensure order and efficiency.,1
Monitor passenger behavior to identify threats to the safety of the crew and other passengers.,3
Monitor participants' progress and adapt programs as needed.,1
"Monitor painting operations to identify flaws, such as blisters or streaks, and correct their causes.",2
"Monitor or track sustainability indicators, such as energy usage, natural resource usage, waste generation, and recycling.",1
Monitor or track project milestones and deliverables.,1
Monitor or trace the location of goods.,1
Monitor or record locations of goods in transit.,1
"Monitor or oversee construction projects, such as horticultural buildings or irrigation systems.",1
"Monitor or operate specialized equipment, such as gas chromatographs and high pressure liquid chromatographs, electrophoresis units, thermocyclers, fluorescence activated cell sorters, and phosphorimagers.",1
"Monitor or operate boilers, turbines, wells, or auxiliary power plant equipment.",2
"Monitor or inspect hydroelectric equipment, such as hydro-turbines, generators, or control systems.",1
Monitor or evaluate medical conditions of patients in collaboration with other health care professionals.,2
Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.,2
"Monitor or calibrate automated systems, industrial control systems, or system components to maximize efficiency of production.",2
Monitor or analyze market and environmental trends.,2
"Monitor operations to identify and solve problems, improve work methods, and ensure compliance with safety, company, and government regulations.",1
Monitor operations to ensure that standards for sound and image projection quality are met.,1
"Monitor operations to ensure that staff members comply with administrative policies and procedures, safety rules, union contracts, environmental policies, or government regulations.",1
Monitor operations to ensure that health and safety standards are met.,1
"Monitor operations to ensure compliance with applicable health, safety, or hygiene standards.",1
Monitor operation of machines and make adjustments to correct problems and ensure conformance to specifications.,1
Monitor operation of equipment and record use of equipment and administration of treatment.,1
Monitor operation of cutting or slicing machines to detect malfunctions or to determine whether supplies need replenishment.,1
Monitor operation of cleaning machines and stop machines or notify supervisors when malfunctions occur.,2
"Monitor operation and adjust controls of processing machines and equipment to produce compositions with specific electronic properties, using computer terminals.",1
"Monitor oil, temperature, and pressure gauges on dashboards to determine if engines are operating safely and efficiently.",2
"Monitor nutrition of children, elderly, or other high-risk groups.",1
"Monitor nuclear reactor equipment performance to identify operational inefficiencies, hazards, or needs for maintenance or repair.",1
"Monitor nuclear facility operations to identify any design, construction, or operation practices that violate safety regulations and laws or could jeopardize safe operations.",1
"Monitor news-gathering operations to ensure utilization of all news sources, such as press releases, telephone contacts, radio, television, wire services, and other reporters.",1
"Monitor network transmissions for advisories concerning daily program schedules, program content, special feeds, or program changes.",1
Monitor network performance to determine whether adjustments are needed and where changes will be needed in the future.,1
Monitor mine production rates to assess operational effectiveness.,1
"Monitor meters, flow gauges, or other real-time data to ensure proper operation of biofuels production equipment, implementing corrective measures as needed.",1
"Monitor meters and pressure gauges to determine consumption rate variations, temperatures, and pressures.",1
Monitor menus and spending to ensure that meals are prepared economically.,1
Monitor medical supplies and place orders when inventory is low.,2
"Monitor maternal condition during labor by checking vital signs, monitoring uterine contractions, or performing physical examinations.",2
"Monitor material performance, and evaluate its deterioration.",1
"Monitor material flow or instruments, such as temperature or pressure gauges, indicators, or meters, to ensure optimal processing conditions.",1
Monitor markets or positions.,1
"Monitor market conditions, product innovations, and competitors' products, prices, and sales.",2
"Monitor market conditions, innovations, and competitors' services, prices, and sales.",2
"Monitor mapping work or the updating of maps to ensure accuracy, inclusion of new or changed information, or compliance with rules and regulations.",1
"Monitor machines that automatically measure, sort, or inspect products.",1
"Monitor machine operations to determine whether adjustments are necessary, stopping machines when problems occur.",2
Monitor machine operations to detect malfunctions or to determine whether adjustments are needed.,1
Monitor machine operations to detect malfunctions and report or resolve problems.,2
Monitor machine operations and observe lights and gauges to detect malfunctions.,1
"Monitor machine operation, and make adjustments as necessary to ensure proper operation.",2
"Monitor machine operation to detect problems such as defective stitching, breaks in thread, or machine malfunctions.",1
"Monitor machine operation and control panel displays, and compare readings to specifications to detect malfunctions.",1
Monitor machine cycles and mill operation to detect jamming and to ensure that products conform to specifications.,1
Monitor loading processes to ensure that materials are loaded according to specifications.,1
Monitor lights indicating obstructions or other trains ahead and watch for car and truck traffic at crossings to stay alert to potential hazards.,3
Monitor laboratory work to ensure compliance with set standards.,1
Monitor investigations of suspected offenders to ensure that they are conducted in accordance with constitutional requirements.,1
"Monitor inventory transactions at warehouse facilities to assess receiving, storage, shipping, or inventory integrity.",1
"Monitor inventory levels on a regular basis, ordering or requesting additional supplies, as necessary.",2
Monitor inventory levels of products or materials in warehouses.,1
Monitor inventory levels and requisition or purchase supplies as needed.,1
Monitor inventory levels and order supplies as necessary.,2
Monitor insurance claims to ensure they are settled equitably for both the client and the insurer.,1
"Monitor instruments, gauges, or recording devices under direction of nuclear experimenters.",1
"Monitor installation of plumbing, wiring, equipment, or appliances to ensure that installation is performed properly and is in compliance with applicable regulations.",1
"Monitor industry Web sites or publications for information about patches, releases, viruses, or potential problem identification.",1
Monitor industry statistics and follow trends in trade literature.,2
"Monitor industry standards, trends, or practices to identify developments in logistics planning or execution.",1
Monitor incoming and outgoing pictures and sound feeds to ensure quality and notify directors of any possible problems.,1
Monitor in-house inventory movement and complete inventory transfer forms for bookkeeping purposes.,1
"Monitor hydroelectric power plant equipment operation and performance, adjusting to performance specifications, as necessary.",1
"Monitor how the wind, heat, or cold affect the curing of the concrete throughout the entire process.",1
Monitor hazardous waste cleanup procedures to ensure proper application of nanocomposites or accomplishment of objectives.,1
Monitor handling of radioactive materials to ensure that established procedures are followed.,1
"Monitor geothermal operations, using programmable logic controllers.",1
"Monitor gauges, warning devices, and control panels to verify aircraft performance and to regulate engine speed.",1
"Monitor gauges, recording instruments, flowmeters, or products to ensure that specified conditions are maintained.",1
"Monitor gauges or meters that measure speed, amperage, battery charge, or air pressure in brake lines or in main reservoirs.",1
"Monitor gauges and flowmeters and inspect equipment to ensure that tank levels, temperatures, chemical amounts, and pressures are at specified levels, reporting abnormalities as necessary.",2
"Monitor game operations to ensure that house rules are followed, that tribal, state, and federal regulations are adhered to, and that employees provide prompt and courteous service.",1
"Monitor funeral service operations to ensure that they comply with applicable policies, regulations, and laws.",1
"Monitor fundamental economic, industrial, and corporate developments by analyzing information from financial publications and services, investment banking firms, government agencies, trade publications, company sources, or personal interviews.",1
Monitor functioning of slot machine coin dispensers and fill coin hoppers when necessary.,2
Monitor functioning of equipment to ensure system operates in conformance with specifications.,1
Monitor functioning of equipment and make necessary modifications to ensure system operates in conformance with specifications.,1
Monitor fulfillment of purchase contract terms to ensure that they are handled in a timely manner.,1
Monitor forest-cleared lands to ensure that they are reclaimed to their most suitable end use.,1
Monitor forecasts and quotas to identify changes and predict effects on supply chain activities.,1
Monitor for trains at railroad crossings and signal the bus driver when it is safe to proceed.,2
"Monitor food service operations to ensure conformance to nutritional, safety, sanitation and quality standards.",1
Monitor food preparation or serving techniques to ensure that proper procedures are followed.,1
"Monitor food preparation methods, portion sizes, and garnishing and presentation of food to ensure that food is prepared and presented in an acceptable manner.",1
"Monitor food distribution, ensuring that meals are delivered to the correct recipients and that guidelines, such as those for special diets, are followed.",1
"Monitor follow-up actions in cases where violations were found, and review compliance monitoring reports.",2
Monitor fire suppression expenditures to ensure that they are necessary and reasonable.,1
Monitor finished cartons as they drop from forming machines into rotating hoppers and into gravity feed chutes to prevent jamming.,1
Monitor financial or operational performance of individual investments to ensure portfolios meet risk goals.,2
Monitor financial market trends to ensure that client plans are responsive.,1
"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",2
Monitor field work to ensure proper performance and use of materials.,1
"Monitor fetal growth and well-being through heartbeat detection, body measurement, and palpation.",2
"Monitor fetal development by listening to fetal heartbeat, taking external uterine measurements, identifying fetal position, or estimating fetal size and weight.",2
Monitor factors such as temperatures and dye flow rates to ensure that they are within specified ranges.,1
"Monitor events, trends, and other circumstances, research specific subject areas, attend art exhibitions, and read art publications to develop ideas and keep current on art world activities.",2
"Monitor event activities to ensure compliance with applicable regulations and laws, satisfaction of participants, and resolution of any problems that arise.",1
Monitor establishment activities to ensure adherence to all state gaming regulations and company policies and procedures.,1
Monitor equipment to ensure proper operation.,1
"Monitor equipment operation, gauges, and panel lights to detect deviations from standards.",1
Monitor equipment operation to detect malfunctions.,1
"Monitor equipment functioning, observe temperature, level, and flow gauges, and perform regular unit checks to ensure that all equipment is operating as it should.",2
"Monitor equipment during operation to ensure adherence to specifications for characteristics such as pressure, temperature, or flow.",1
Monitor environments to ensure maintenance of optimum animal or plant life.,1
Monitor environmental impacts of development activities.,1
"Monitor environmental factors, such as humidity and temperature, that may impact equipment performance and make necessary adjustments.",2
"Monitor engine, machinery, or equipment indicators when vessels are underway, and report abnormalities to appropriate shipboard staff.",2
"Monitor engine operation, fuel consumption, and functioning of aircraft systems during flights.",2
"Monitor energy related design or construction issues, such as energy engineering, energy management, or sustainable design.",1
Monitor employees' work schedules and attendance for payroll purposes.,1
Monitor employees' work levels and review work performance.,1
Monitor employee and patron activities to ensure liquor regulations are obeyed.,1
Monitor emission control devices to ensure they are operating properly and comply with state and federal regulations.,2
Monitor emerging trends regarding industry regulations to determine potential impacts on organizational processes.,1
"Monitor emergency and code alarms, make emergency announcements, or route emergency calls to the appropriate location.",2
Monitor effects of pollution or land degradation and recommend means of prevention or control.,2
"Monitor effectiveness of pain management interventions, such as medication or spinal injections.",1
"Monitor drilling operations, by checking gauges and listening to equipment to assess drilling conditions and to determine the need to adjust drilling or alter equipment.",1
"Monitor developments in the fields of industrial technology, business, finance, and economic theory.",2
Monitor development of new products to help identify possible problems for mass production.,1
"Monitor database performance and perform any necessary maintenance, upgrades, or repairs.",2
Monitor daily stock prices and compute fluctuations to determine the need for additional collateral to secure loans.,1
Monitor customer preferences to determine focus of sales efforts.,1
Monitor current reports of computer viruses to determine when to update virus protection systems.,1
Monitor credit extended to players.,1
Monitor costs incurred by project staff to identify budget issues.,1
"Monitor control panels during pumping operations to ensure that materials are being pumped at the correct pressure, density, rate, and concentration.",1
"Monitor contractor performance, recommending contract modifications when necessary.",1
Monitor contract compliance and results of forestry activities to assure adherence to government regulations.,1
Monitor consumer preferences or environmental trends to determine the best way to introduce new green products.,1
Monitor construction activities to ensure that environmental regulations are not violated.,1
"Monitor conduct of prisoners in housing unit, or during work or recreational activities, according to established policies, regulations, and procedures, to prevent escape or violence.",1
"Monitor computer-controlled test equipment, according to written or verbal instructions.",1
"Monitor compliance with standard operating procedures for loss prevention, physical security, or risk management.",1
"Monitor compliance with health and fire regulations regarding food preparation and serving, and building maintenance in lodging and dining facilities.",1
"Monitor compliance to operational, safety, or inventory control procedures, including physical security standards.",1
Monitor compliance systems to ensure their effectiveness.,1
Monitor competitors' sales activities by following their advertisements in newspapers or other media.,1
Monitor company or workforce adherence to labor agreements.,1
Monitor closed-circuit television cameras.,2
Monitor clinical trials or experiments to ensure adherence to established procedures or to verify the quality of data collected.,1
Monitor clients' use of medications.,1
Monitor clients' progress to determine whether changes in rehabilitation plans are needed.,1
Monitor checkout stations to ensure they have adequate cash available and are staffed appropriately.,1
Monitor changes in legislation and accreditation standards that affect information security or privacy in the computerized healthcare system.,2
"Monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.",2
"Monitor cardiac patients, using electrocardiography devices, such as a holter monitor.",1
Monitor building security and safety by performing tasks such as locking doors after operating hours or checking electrical appliance use to ensure that hazards are not created.,1
Monitor bug resolution efforts and track successes.,2
"Monitor budgets, expense reports, or other financial data for fundraising organizations.",1
"Monitor budgets and payroll records, and review financial transactions to ensure that expenditures are authorized and budgeted.",1
Monitor broadcasts to ensure that programs conform to station or network policies and regulations.,1
"Monitor boiler water, chemical, and fuel levels, and make adjustments to maintain required levels.",1
"Monitor blood or plasma donors during and after procedures to ensure health, safety, and comfort.",1
"Monitor behavior of subordinates to ensure alert, courteous, and professional behavior toward inmates, parolees, fellow employees, visitors, and the public.",1
"Monitor batch, continuous flow, or hybrid biofuels production processes.",1
Monitor bank vaults to ensure cash balances are correct.,1
Monitor automated systems for placing collect calls and intervene for a callers needing assistance.,1
"Monitor automated press operation systems and respond to fault, error, or alert messages.",1
Monitor animals recovering from surgery and notify veterinarians of any unusual changes or symptoms.,1
Monitor and test operations of engines or other equipment so that malfunctions and their causes can be identified.,1
"Monitor and review programming to ensure that schedules are met, guidelines are adhered to, and performances are of adequate quality.",1
Monitor and review paperwork procedures and systems to prevent error-related shortages.,1
Monitor and report incidents of infectious diseases to local and state health agencies.,1
Monitor and record switchboard or control board readings to ensure that electrical or steam distribution equipment is operating properly.,2
Monitor and record food temperatures to ensure food safety.,3
Monitor and record flow meter performance.,2
Monitor and record clients' progress to ensure that goals and objectives are met.,2
Monitor and record biofuels processing data.,2
"Monitor and perform tests on water, food, and the environment to detect harmful microorganisms or to obtain information about sources of pollution, contamination, or infection.",2
"Monitor and order supplies or food items, and restock as necessary to maintain inventory.",1
"Monitor and operate communications systems, such as mobile radios.",2
"Monitor and observe experiments, recording production and test data for evaluation by research personnel.",1
"Monitor and measure thicknesses of electroplating on component parts to verify conformance to specifications, using micrometers.",1
Monitor and maintain records of daily facility operations.,1
Monitor and maintain aseptic technique throughout procedures.,1
Monitor and log transmitter readings.,1
"Monitor and inspect equipment, computer terminals, switches, valves, gauges, alarms, safety devices, and meters to detect leaks or malfunctions and to ensure that equipment is operating efficiently and safely.",2
Monitor and follow applicable laws and regulations.,1
"Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.",1
"Monitor and evaluate the job performance of subordinates, and authorize promotions and transfers.",2
Monitor and evaluate effectiveness of sustainability programs.,1
"Monitor and ensure a sound, ethical environment.",1
Monitor and document patients' progress during post-anesthesia period.,2
Monitor and direct the work of lower-level clerks.,1
Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.,1
Monitor and control temperature of products.,1
"Monitor and authorize entry of employees, visitors, or other persons.",2
"Monitor and authorize entrance and departure of employees, visitors, and other persons to guard against theft and maintain security of premises.",2
"Monitor and analyze system performance, such as network traffic, security, and capacity.",2
"Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns, company sales, and needed inventory.",2
Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,1
"Monitor and analyze network performance and reports on data input or output to detect problems, identify inefficient use of computer resources, or perform capacity planning.",2
Monitor and analyze energy consumption.,1
Monitor and analyze data from processes and experiments.,1
Monitor and adjust production processes or equipment for quality and productivity.,2
Monitor and adjust operations of geothermal power plant equipment or systems.,1
"Monitor and adjust controls that regulate building systems, such as air conditioning, furnace, or boiler.",1
"Monitor all systems for normal running conditions, performing activities such as checking gauges to assess output or the effects of generator loading on other equipment.",1
Monitor alarm systems to ensure that secure conditions are maintained.,1
"Monitor alarm systems to detect emergencies, such as fires and illegal entry into establishments.",1
"Monitor aircraft within a specific airspace, using radar, computer equipment, or visual references.",1
"Monitor activities, such as irrigation, chemical application, harvesting, milking, breeding, and grading, to ensure adherence to safety regulations or standards.",1
"Monitor activities to ensure adherence to rules and safety procedures, or arrange for the removal of unruly patrons.",2
Monitor activities of logging companies and contractors.,1
Mold wax over denture setups to form the full contours of artificial gums.,1
"Mold or install ornamental plaster pieces, panels, or trim.",2
"Mold expansion joints and edges, using edging tools, jointers, or straightedges.",1
"Mold expansion joints and edges, using edging tools, jointers, and straightedge.",1
Moisten materials to soften and smooth them.,1
"Modify, update, or process existing policies and claims to reflect any change in beneficiary, amount of coverage, or type of insurance.",1
"Modify, maintain, or repair electronics equipment or systems to ensure proper functioning.",1
"Modify, maintain, or repair electrical, electronic, or mechanical components, equipment, or systems to ensure proper functioning.",3
"Modify, devise, or maintain nuclear equipment used in operations.",1
"Modify, clean, or maintain pipe systems, units, fittings, or related machines or equipment, using hand or power tools.",2
Modify treatment plans to comply with changes in clients' status.,1
Modify treatment plans to comply with changes in client status.,1
Modify treatment plans according to changes in client status.,1
Modify treatment activities or approaches as needed to comply with changes in clients' status.,1
Modify the general preschool curriculum for students with disabilities.,1
Modify the general kindergarten education curriculum for students with disabilities.,1
Modify the general elementary education curriculum for students with disabilities.,1
"Modify the general education curriculum for students with disabilities, based upon a variety of instructional techniques and technologies.",1
"Modify the general education curriculum for students with disabilities, based upon a variety of instructional techniques and instructional technology.",1
"Modify properties of metal alloys, using thermal and mechanical treatments.",1
Modify patient treatment plans as indicated by patients' responses and conditions.,1
Modify or improve filing systems or implement new filing systems.,1
"Modify mixing, grouting, grinding, or cleaning procedures, according to type of installation or material used.",1
"Modify material moving, mixing, grouting, grinding, polishing, or cleaning procedures, according to installation or material requirements.",1
"Modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",1
"Modify existing software to correct errors, adapt it to new hardware, or upgrade interfaces and improve performance.",1
Modify existing programs to enhance efficiency.,1
Modify existing databases and database management systems or direct programmers and analysts to make changes.,2
"Modify electrical prototypes, parts, assemblies, or systems to correct functional deviations.",1
"Modify cutting programs to account for problems encountered during operation, and save modified programs.",1
"Modify cooking and forming operations based on the results of sampling processes, adjusting time cycles and ingredients to achieve desired qualities, such as firmness or texture.",1
Modify computer-controlled robot movements.,1
"Modify computer security files to incorporate new software, correct errors, or change individual access status.",1
Modify and revise designs to correct operating deficiencies or to reduce production problems.,1
"Modify and refine designs, using working models, to conform with customer specifications, production limitations, or changes in design trends.",1
Modify and customize commercial programs for internal needs.,1
"Modify aircraft structures, space vehicles, systems, or components, following drawings, schematics, charts, engineering orders, and technical publications.",1
"Moderate panels or discussion shows on topics such as current affairs, art, or education.",1
Model transportation scenarios to evaluate the impacts of activities such as new development or to identify possible solutions to transportation problems.,1
"Model substances such as clay or wax, using fingers and small hand tools to form objects.",1
"Model biological, chemical, or physical treatment processes to remove or degrade pollutants.",1
Model appropriate social behaviors and encourage concern for others to cultivate development of interpersonal relationships and communication skills.,1
"Mix, pour, or use processing chemicals or gases according to safety standards or established operating procedures.",1
"Mix, pour, or spread concrete, using portable cement mixers.",3
"Mix, cut, or sample recorded music using DJ controllers, CDJs, or DJ mixers.",2
"Mix, blend, or cultivate ingredients to make reagents or to manufacture food or beverage products.",1
"Mix, apply, and spread plaster, concrete, mortar, cement, mastic, glue or other adhesives to form a bed for the tiles, using brush, trowel and screed.",3
"Mix water and detergents or acids in containers to prepare cleaning solutions, according to specifications.",1
"Mix specified materials or chemicals, and dump solutions, powders, or seeds into planter or sprayer machinery.",1
"Mix specified amounts of sand, clay, mortar powder, and water to form refractory clay or mortar, using shovels or mixing machines.",1
"Mix specified amounts of sand, clay, dirt, or mortar powder with water to form refractory mixtures.",1
Mix sealing compounds by hand or with portable electric mixers.,1
Mix polyester resins and hardeners to be used in restoring damaged areas.,1
"Mix plaster, and carry plaster to plasterers.",2
"Mix pigments to match patients' skin coloring, according to formulas, and apply mixtures to orthotic or prosthetic devices.",2
"Mix pharmaceutical preparations, according to written prescriptions.",1
"Mix pesticides, herbicides, or fungicides for application to trees, shrubs, lawns, or botanical crops.",1
"Mix paste, using paste powder and water, and brush paste onto surfaces.",2
"Mix paints to match color specifications or original colors, stirring or thinning paints, using spatulas or power mixing equipment.",1
Mix or pour concrete into forms to encase waste material for disposal.,2
"Mix or blend ingredients, according to recipes, using a paddle or an agitator, or by controlling vats that heat and mix ingredients.",1
Mix or blend ingredients by starting machines and mixing for specified times.,1
"Mix mortar, plaster, and grout, manually or using machines, according to standard formulas.",1
"Mix mortar or grout and pour or spread mortar or grout on marble slabs, stone, or foundation.",3
Mix mortar and plaster to desired consistency or direct workers who perform mixing.,1
"Mix ingredients, such as pancake or waffle batters.",1
"Mix ingredients, such as liquor, soda, water, sugar, and bitters, to prepare cocktails and other drinks.",1
Mix ingredients to create compounds for covering or cleaning surfaces.,1
"Mix ingredients for green salads, molded fruit salads, vegetable salads, and pasta salads.",1
Mix ingredients according to specified procedures or formulas.,1
"Mix food, liquid formulas, medications, or food supplements according to instructions, prescriptions, and knowledge of animal species.",1
Mix finish ingredients to obtain desired colors or shades.,1
"Mix feed, additives, and medicines in prescribed portions.",1
"Mix cleaning solutions, abrasive compositions, or other compounds, according to formulas.",1
Mix cleaning compounds or solutions.,2
"Mix cement, sand, and water to produce concrete, grout, or slurry, using hoe, trowel, tamper, scraper, or concrete-mixing machine.",2
"Mix catalysts into resins, and saturate cloth and mats with mixtures, using brushes.",2
"Mix bleaching agents with hot water in vats, and soak material until it is bleached.",1
"Mix and test solutions, and turn valves to fill tanks with solutions.",2
"Mix and spray or spread fertilizers, herbicides, or insecticides onto grass, shrubs, or trees, using hand or automatic sprayers or spreaders.",3
Mix and regulate sound inputs and feeds or coordinate audio feeds with television pictures.,1
Mix and prepare flavors for mixed drinks.,1
"Mix and pour concrete around bases of posts, or tamp soil into postholes to embed posts.",2
Mix and measure glue that will be used for instrument repair.,1
"Mix and measure compounds, or weigh premixed compounds, and dump them into machine tubs, cavities, or molds.",2
"Mix and match colors of paint, stain, or varnish with oil or thinning and drying additives to obtain desired colors and consistencies.",1
"Mix and edit voices, music, and taped sound effects for live performances and for prerecorded events, using sound mixing boards.",1
Mix and apply mortar or cement to edges and ends of drain tiles to seal halves and joints.,2
"Mix and apply glazes to pottery pieces, using tools, such as spray guns.",2
