DWA Title,Count of tasks_to_dwas.csv
Confer with other personnel to resolve design or operational problems.,10
Confer with organizational members to accomplish work activities.,34
Confer with managers to make operational decisions.,5
Confer with family members to discuss client treatment plans or progress.,6
Confer with customers or users to assess problems.,16
Confer with customers or designers to determine order specifications.,8
Confer with coworkers to resolve equipment problems.,8
Confer with coworkers to coordinate work activities.,21
Confer with coworkers to coordinate maintenance or cleaning activities.,7
Confer with court staff to clarify information.,6
Confer with clients to exchange information.,6
Confer with clients to discuss treatment plans or progress.,9
Confer with clients to determine needs.,13
Conduct validation tests of equipment or processes.,9
Conduct test runs of production equipment.,17
Conduct surveys in organizations.,6
Conduct scientific research of organizational behavior or processes.,7
"Conduct research to inform art, designs, or other work.",14
Conduct research to increase knowledge about medical issues.,42
Conduct research to gain information about products or processes.,19
Conduct research on social issues.,13
Conduct research of processes in natural or industrial ecosystems.,7
Conduct quantitative failure analyses of operational data.,8
Conduct opinion surveys or needs assessments.,8
Conduct market research.,7
Conduct historical research.,8
Conduct hearings to investigate legal issues.,7
Conduct health or safety training programs.,10
Conduct gaming transactions.,9
Conduct financial or regulatory audits.,8
Conduct environmental audits.,2
Conduct employee training programs.,37
Conduct eligibility or selection interviews.,8
Conduct diagnostic tests to determine patient health.,8
Conduct climatological research.,9
Conduct anthropological or archaeological research.,9
Conduct amusement or gaming activities.,17
Compute gaming wins and losses.,3
Compute debt repayment schedules.,5
Complete documentation required by programs or regulations.,7
Compile technical information or documentation.,10
Compile specialized bibliographies or lists of materials.,36
Compile operational data.,12
Compile geographic or related data.,6
Compile environmental or climatological data.,5
Compile data or documentation.,45
Compare physical characteristics of materials or products to specifications or standards.,6
Compact materials to create level bases.,15
Communicate with the public on environmental issues.,7
Communicate with others to coordinate vehicle movement.,30
Communicate with others to coordinate material handling or movement.,7
Communicate with other workers to coordinate activities.,8
Communicate with other construction or extraction personnel to discuss project details.,6
Communicate with management or other staff to resolve problems.,13
Communicate with government agencies.,24
Communicate with customers to resolve complaints or ensure satisfaction.,6
Communicate with coworkers to coordinate installations or repairs.,8
"Communicate with clients about products, procedures, and policies.",11
Communicate test or assessment results to medical professionals.,13
"Communicate technical information to suppliers, contractors, or regulatory agencies.",9
Communicate situation details to appropriate personnel.,18
Communicate safety or hazard information to others.,5
Communicate results of environmental research.,9
Communicate project information to others.,12
Communicate patient status to other health practitioners.,3
Communicate organizational policies and procedures.,15
Communicate organizational information to customers or other stakeholders.,9
Communicate health and wellness information to the public.,14
Communicate green energy production information.,6
Communicate dining or order details to kitchen personnel.,6
Communicate detailed medical information to patients or family members.,19
Collect samples of raw materials or finished products.,3
Collect samples of materials or products for testing.,18
Collect samples for analysis or testing.,4
Collect payments for goods or services.,17
"Collect medical information from patients, family members, or other medical professionals.",35
"Collect information from people through observation, interviews, or surveys.",22
Collect information about community health needs.,3
Collect information about clients.,9
Collect geological samples.,4
Collect geographical or geological field data.,8
Collect fares or payment from customers.,11
Collect evidence for legal proceedings.,16
Collect environmental data or samples.,13
Collect dirty dishes or other tableware.,6
"Collect deposits, payments or fees.",30
Collect data about project sites.,8
Collect data about customer needs.,8
Collect biological specimens.,6
Collect biological specimens from patients.,29
Collect archival data.,9
Collaborate with technical specialists to resolve design or development problems.,10
Collaborate with outside groups to develop programs or projects.,2
Collaborate with others to resolve information technology issues.,23
Collaborate with others to prepare or perform artistic productions.,9
Collaborate with others to develop or refine designs.,10
Collaborate with others to develop or implement marketing strategies.,10
Collaborate with others to determine technical details of productions.,14
Collaborate with others to determine production details.,4
Collaborate with others to determine design specifications or details.,21
Collaborate with others in marketing activities.,6
Collaborate with other teaching professionals to develop educational programs.,35
Collaborate with other professionals to develop education or assistance programs.,7
Collaborate with other professionals to assess client needs or plan treatments.,18
Collaborate with other agencies and institutions to coordinate educational matters.,5
Collaborate with law enforcement or security agencies to share information.,5
Collaborate with law enforcement or security agencies to respond to incidents.,7
Collaborate with healthcare professionals to plan or provide treatment.,65
Collaborate on research activities with scientists or technical specialists.,11
Code data or other information.,8
Coach others.,7
Climb ladders or vehicles to perform duties.,6
Climb equipment or structures to access work areas.,8
Clear equipment jams.,12
Clean workpieces or finished products.,27
Clean work sites.,11
Clean work areas.,34
Clean vessels or marine equipment.,5
Clean vehicles or vehicle components.,23
Clean tools or equipment.,9
Clean tableware.,10
Clean surfaces in preparation for work activities.,18
Clean production equipment.,65
Clean patient rooms or patient treatment rooms.,10
Clean objects.,6
Clean medical equipment.,15
Clean medical equipment or facilities.,14
Clean materials to prepare them for production.,5
Clean machinery or equipment.,12
Clean furniture or fixtures.,8
Clean food service areas.,8
"Clean food preparation areas, facilities, or equipment.",17
Clean facilities or work areas.,28
Clean facilities or sites.,9
Clean facilities or equipment.,16
Clean fabrics or apparel.,6
"Clean equipment, parts, or tools to repair or maintain them in good working order.",43
Clean equipment or supplies.,7
Clean equipment or facilities.,31
Clean building walls or flooring.,8
Classify organisms based on their characteristics or behavior.,5
Classify materials according to standard systems.,6
Choreograph dances.,6
Choose optimal transportation routes or speeds.,6
Check quality of foods or supplies.,5
Check quality of diagnostic images.,4
Check physical condition of people or animals.,3
Check data for recording errors.,9
Cast molds of patient anatomies to create medical or dental devices.,3
Care for women during pregnancy and childbirth.,8
Care for plants or animals.,2
Care for patients with mental illnesses.,4
Care for animals.,17
Capture or kill animals.,4
Calibrate scientific or technical equipment.,24
Calibrate equipment to specifications.,12
"Calculate weights, volumes or other characteristics of materials.",8
Calculate tax information.,6
"Calculate specific material, equipment, or labor requirements for production.",12
Calculate shipping costs.,7
Calculate requirements for equipment installation or repair projects.,3
Calculate numerical data for medical activities.,10
Calculate geographic positions from survey data.,10
Calculate financial data.,17
"Calculate dimensions of workpieces, products, or equipment.",13
Calculate data to inform organizational operations.,11
Calculate costs of goods or services.,29
Build production molds.,12
"Build models, patterns, or templates.",8
Build construction forms or molds.,7
Build agricultural structures.,4
"Break up rock, asphalt, or concrete.",10
Braze metal parts or components.,2
Bolt objects into place.,4
Block physical access to restricted areas.,7
Balance receipts.,5
Authorize payments to settle legal disputes.,4
Authorize financial actions.,8
Authorize construction activities.,2
Audition or interview potential performers or staff members.,6
Audition for roles.,3
Attend training to learn new skills or update knowledge.,3
Attend training sessions or professional meetings to develop or maintain professional knowledge.,57
Attend events to develop professional knowledge.,7
Attend educational events to update medical knowledge.,5
Attend conferences or workshops to maintain professional knowledge.,8
Attach rigging to objects so they can be moved.,5
"Attach identification information to products, items or containers.",8
Attach equipment extensions or accessories.,6
Attach decorative or functional accessories to products.,9
Assist students with special educational needs.,19
Assist skilled construction or extraction personnel.,18
Assist practitioners to perform medical procedures.,9
Assist patrons with entering or exiting vehicles or other forms of transportation.,7
Assist patients with hygiene or daily living activities.,5
Assist patients with daily activities.,18
Assist passengers during vehicle boarding.,12
Assist others during emergencies.,6
Assist other educational professionals with projects or research.,5
Assist motorists or pedestrians.,5
Assist individuals with special needs.,5
Assist individuals with paperwork.,7
Assist healthcare practitioners during surgery.,14
Assist healthcare practitioners during examinations or treatments.,17
Assist engineers or scientists with research.,4
Assist disabled or incapacitated individuals.,4
Assist customers with seating arrangements.,6
Assist customers with product selection.,1
Assist customers to ensure comfort or safety.,17
Assist clients in handling details of daily life.,5
Assist chefs or caterers with food or drink preparation.,3
Assign resources or facilities to patrons or employees.,6
Assign duties or work schedules to employees.,21
Assign class work to students.,7
"Assess the cost effectiveness of products, projects, or services.",7
Assess skin or hair conditions.,5
Assess risks to business operations.,14
Assess product or process usefulness.,5
Assess physical conditions of patients to aid in diagnosis or treatment.,11
"Assess patient work, living, or social environments.",3
Assess locations for potential green technology installations.,3
Assess individual or community needs for educational or social services.,4
Assess financial status of clients.,11
Assess equipment functioning.,3
Assess educational needs of students.,11
Assess database performance.,7
Assess compliance with environmental laws.,10
Assess characteristics of fires.,5
Assemble wood products.,7
Assemble tires.,6
Assemble temporary equipment or structures.,24
Assemble structural components.,4
Assemble products or production equipment.,14
Assemble precision electronics or optical equipment.,8
Assemble metal structures.,5
Assemble metal or plastic parts or products.,13
Assemble mechanical components or machine parts.,19
"Assemble machine tools, parts, or fixtures.",7
Assemble garments or textile products.,9
Assemble equipment or components.,14
Assemble electromechanical or hydraulic systems.,10
Assemble electrical or electronic equipment.,8
"Assemble electrical components, subsystems, or systems.",10
Arrange tables or dining areas.,7
Arrange services or reservations for patrons.,13
Arrange physical or mental health services for clients.,6
Arrange maintenance activities.,10
Arrange items for use or display.,9
Arrange insurance coverage.,5
Arrange food for serving.,9
Arrange facility schedules.,5
Arrange delivery of goods or services.,12
Arrange collective bargaining agreements.,12
Arrange childcare or educational settings to ensure physical safety of children.,3
"Arrange artwork, products, or props.",13
Arbitrate disputes between parties to resolve legal conflicts.,6
Approve expenditures.,15
Apprehend criminal suspects.,9
Appraise property values.,17
Appraise environmental impact of regulations or policies.,6
Apply water or solutions to fabrics or apparel.,8
Apply solutions to production equipment.,9
Apply solutions to hair for therapeutic or cosmetic purposes.,5
Apply sealants or other protective coatings.,25
Apply protective or decorative finishes to workpieces or products.,31
Apply protective coverings to objects or surfaces near work areas.,7
Apply parting agents or other solutions to molds.,9
Apply paint to surfaces.,7
Apply new technologies to improve work processes.,4
Apply multiple teaching methods.,12
Apply mortar.,9
Apply mathematical principles or statistical approaches to solve problems in scientific or applied fields.,11
Apply mathematical models of financial or business conditions.,12
Apply material to fill gaps in surfaces.,20
Apply makeup to alter or enhance appearance.,9
Apply lubricants or coolants to workpieces.,9
Apply knowledge or research findings to address environmental problems.,10
Apply information technology to solve business or other applied problems.,9
Apply identification labels or tags.,3
"Apply finishes to artwork, crafts, or displays.",3
Apply decorative or textured finishes or coverings.,14
Apply decorative masonry finishes.,9
Apply decorative coloring to photographs or printed materials.,1
"Apply cleansing or conditioning agents to client hair, scalp, or skin.",14
Apply chemical solutions to plants to protect against disease or insects or to enhance growth.,2
"Apply bandages, dressings, or splints.",12
Apply adhesives to construction materials.,19
Answer telephones to direct calls or provide information.,24
Answer customer questions about goods or services.,14
Analyze website or related online data to track trends or usage.,7
Analyze traffic data.,7
Analyze test results.,5
Analyze test or validation data.,7
Analyze test or performance data to assess equipment operation.,6
Analyze test data or images to inform diagnosis or treatment.,45
Analyze shipping information to make routing decisions.,13
"Analyze security of systems, network, or data.",10
Analyze risks to minimize losses or damages.,9
Analyze risks related to investments in green technology.,7
Analyze quantitative data to determine effectiveness of treatments or therapies.,7
Analyze project data to determine specifications or requirements.,11
"Analyze physical, survey, or geographic data.",6
Analyze patient data to determine patient needs or treatment goals.,35
Analyze operational or research data.,6
"Analyze operational data to evaluate operations, processes or products.",14
Analyze medical data to determine cause of death.,3
Analyze market research data.,8
Analyze market or customer related data.,10
Analyze market conditions or trends.,14
Analyze logistics processes.,12
Analyze laboratory specimens to detect abnormalities or other problems.,17
Analyze laboratory findings.,4
"Analyze jobs using observation, survey, or interview techniques.",7
Analyze information obtained from news sources.,3
Analyze industry trends.,5
Analyze impact of legal or regulatory changes.,5
Analyze health-related data.,10
Analyze green technology design requirements.,3
Analyze geological samples.,4
Analyze geological or geographical data.,15
Analyze Geographic Information Systems (GIS) data for use in green applications.,1
Analyze forensic evidence to solve crimes.,11
Analyze forecasting data to improve business decisions.,10
Analyze financial records to improve efficiency.,7
Analyze financial records to improve budgeting or planning.,6
Analyze financial records or reports to determine state of operations.,4
Analyze financial information.,8
Analyze environmental regulations to ensure organizational compliance.,5
Analyze environmental data.,12
Analyze energy usage data.,9
Analyze design requirements for computer or electronics systems.,9
Analyze design or requirements information for mechanical equipment or systems.,8
Analyze data to inform personnel decisions.,4
Analyze data to inform operational decisions or activities.,21
Analyze data to identify trends or relationships among variables.,22
Analyze data to identify or resolve operational problems.,14
Analyze data to determine project feasibility.,8
Analyze data to assess operational or project effectiveness.,5
Analyze crime scene evidence.,4
Analyze costs and benefits of proposed designs or projects.,16
Analyze consumer trends.,4
Analyze chemical compounds or substances.,11
Analyze business or financial data.,26
Analyze budgetary or accounting data.,6
Analyze biological samples.,12
Allocate physical resources within organizations.,6
Align parts or workpieces to ensure proper assembly.,31
Align masonry materials.,7
Align equipment or machinery.,15
Advocate for individual or community needs.,6
Advise students on academic or career matters.,123
Advise real estate clients.,6
Advise patients on preventive care techniques.,3
Advise patients on healthcare system processes.,3
Advise patients on effects of health conditions or treatments.,12
Advise others regarding green practices or environmental concerns.,11
Advise others on ways to improve processes or products.,10
Advise others on the development or use of new technologies.,6
Advise others on social or educational issues.,6
Advise others on matters of public policy.,10
Advise others on management of emergencies or hazardous situations or materials.,5
Advise others on logistics topics.,4
Advise others on legal or regulatory compliance matters.,23
"Advise others on issues related to repairs, installation, or equipment design.",7
Advise others on human resources topics.,9
Advise others on healthcare matters.,6
Advise others on health and safety issues.,9
Advise others on green energy or related technologies.,4
Advise others on financial matters.,13
"Advise others on farming or forestry operations, regulations, or equipment.",5
Advise others on educational matters.,5
Advise others on career or personal development.,8
Advise others on business or operational matters.,40
Advise others on analytical techniques.,6
Advise others about land management or conservation.,8
Advise others about environmental management or conservation.,17
Advise medical personnel regarding healthcare issues.,21
"Advise educators on curricula, instructional methods, or policies.",42
Advise customers on the use of products or services.,25
Advise customers on technical or procedural issues.,9
Advise communities or institutions regarding health or safety issues.,13
Advise clients or community groups on health issues.,10
"Advise athletes, coaches, or trainers on exercise regimens, nutrition, or equipment use.",8
Administer therapy treatments to patients using hands or physical treatment aids.,10
Administer therapeutic massages.,6
Administer tests to assess educational needs or progress.,61
Administer standardized physical or psychological tests.,7
Administer screening tests to determine abilities or treatment needs.,5
Administer personnel recruitment or hiring activities.,15
Administer oaths to court participants.,4
Administer non-intravenous medications.,15
Administer medical substances for imaging or other procedures.,6
Administer intravenous medications.,13
Administer first aid.,11
Administer drug screening tests.,2
Administer compensation or benefits programs.,9
Administer cancer treatments.,3
Administer blood or other fluids intravenously.,6
Administer basic health care or medical treatments.,24
Administer anesthetics or sedatives to control pain.,12
Adjust vehicle components according to specifications.,17
Adjust tuning or functioning of musical instruments.,7
Adjust the tension of nuts or bolts.,4
Adjust temperature controls of ovens or other heating equipment.,31
Adjust settings or positions of medical equipment.,14
Adjust routes or speeds as necessary.,2
Adjust prostheses or other assistive devices.,9
Adjust positions of patients on beds or tables.,8
Adjust position of molds during processing.,2
Adjust office equipment to ensure proper operation.,5
Adjust flow of electricity to tools or production equipment.,6
Adjust fabrics or other materials during garment production.,13
Adjust equipment to ensure optimal performance.,55
Adjust equipment controls to regulate gas flow.,8
"Adjust equipment controls to regulate flow of water, cleaning solutions, or other liquids.",9
Adjust equipment controls to regulate flow of production materials or products.,26
Adjust equipment controls to regulate coolant flow.,14
Adjust dental devices or appliances to ensure fit.,4
Adjust building climate control systems.,2
Add garnishes to food.,3
Acquire supplies or equipment.,7
Accompany patients or clients on outings to provide assistance.,5
Accompany individuals or groups to activities.,4
